Port of Tilbury London Limited|Tilbury 2, Ford Road, West Tilbury, Essex. RM8 8UL|GBAUTILLONTIL|No
Port of Tilbury London Limited|Leslie Ford House, Tilbury Freeport, Tilbury, Essex. RM18 7EH|GBAUTIMLONJWQ1|No
Port of Tyne Authority|GBAUSSHTYNSSH|No
Port of Tyne Authority|Tyne Dock, South Shields. NE34 9PT|GBAUNSHTYNNSH|No
Port of Wisbech Limited|GBAUWISKLNWIS|No
Port Sutton Bridge Limited|GBAUPSBKLNPSB|No
Portico Shipping Limited|Flathouse & Albert Johnson Quay, Prospect Road, Portsmouth, Hampshire. PO2 7SP|GBAUPMEPTMAJQ|No
Portico Shipping Limited|Flathouse & Albert Johnson Quay, Prospect Road, Portsmouth, Hampshire. PO2 7SP|GBAUPMEPTMFHQ|No
Portico Shipping Ltd|Flathouse Quay, Prospect Road, Portsmouth, Hampshire. PO2 7SP|GBAUPMEPTMPOR1|No
Portico Shipping Ltd|Flathouse Quay, Prospect Road, Portsmouth, Hampshire. PO2 7SP|GBAUPMEPTMPOR4|No
Portland Bunkers UK Limited|The Inner Breakwater Berth, Portland Port, Castletown. DT5 1PH|GBAUPRHWEYIBB|No
Portland Harbour|Portland Port, Castletown, Portland, Dorset. DT5 1PP|GBAUPRHWEYPRH|No
Portland Port Ltd|Portland Port, Castletown, Portland, Dorset. DT5 1PP|GBAUPTLPTLPTL|No
Portrack Seafreight Ltd|Bamletts Wharf Haverton Hill Road, Billingham. TS23 1PH|GBAUBHWMIDBIP|No
Portsmouth City Council|Harbour Offices, George Byng Way, Portsmouth, Hampshire. PO2 8SP|GBAUPMEPTMPME|No
PPL Humber Bulk Temrinal Ltd|New Holland Pier, Old Ferry Terminal, New Holland, North Lincolnshire, Barrow Haven. DN19 7SD|GBAUNHOIMMNHP|No
Premier Cement Limited|GBAUSWASWAKDE|No
Premier Cement Ltd|Howden Terminal, Howdendike, Goole, East Riding. DN14 7UW|GBAUHDDGOOCPH|No
Premiership Ltd|41 Berth, Central Receiving Lane, Dock Gate 4, Southampton Eastern Docks. SO14 3GG|GBAUSOUSTNPRE1|No
Pura Foods Ltd|Jurgens Jetty - Purfleet. RM19 1SD|GBAUPFTLONJUJ|No
Ramsey Harbour(Isle of Man)|East Quay, Ramsey, Isle of Man. IM8 1BG|IMAURAMRSYRAM|No
Rastrum Limited|Rye Wharf, Harbour Road, Rye, East Sussex, TN31 7TE|GBAURYEDOGRYE|No
Redcar Bulk Terminal Limited|Redcar Bulk Terminal, Redcar, TS10 5NX|GBAURERMIDRED|No
Repsol Sinopec Resources UK Limited|Flotta Oil Terminal, Flotta, Stromness, Orkney. KW16 3NP|GBAUFLHKWLFLH|No
Ridham Sea Terminals Ltd|GBAURIDMEDRST|No
RMS Trent Ports Limited|Flixborough Wharf, Stather Road, Flixborough, North Lincolnshire. DN15 8RS|GBAUFLWTRTFLW|No
RMS Trent Ports Limited|Gunness Wharf, Stather Road, Flixborough, North Lincolnshire. DN15 8RS|GBAUGUWTRTGUW|No
Robert Brett & Sons Limited|Peruvian Wharf North Woolwitch Road, Silvertown, London. E16 2AB|GBAUSVTLONRPR|No
Robert Brett & Sons Limited t/a Brett Group|East Side Ridham Dock, Iwade, Sittingbourne, Kent. ME9 8SR|GBAURIDMEDRBS|No
Robertson Metals Recycling Limited|Inverkeithing Harbour, Cruickness Road, Inverkeithing, Fife. KY11 1HR|GBAUINKGRGINK|No
Rosyth Royal Dockyard|Rosyth Royal Dockyard Limited, Rosyth Business Park, Rosyth, Dunfermaline, Fife. KY11 2YD|GBAUROYROSRND|No
Runcorn Docks|GBAURUNRUNRUN|No
